--------- beginning of main
09-05 11:07:30.974 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (p2p-wlan0-4)    = c2:c0:71:b4:41:fe
09-05 11:07:30.980 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (any p2p/ap)     = c2:c0:71:b4:41:fe
09-05 11:07:30.993 W/OPENHU  (20623): [2] WifiDirectManager.getWifiDirectMac | WifiDirectManager: No valid MAC found in NetworkInterface scan for p2p-wlan0-4
09-05 11:07:30.994 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   NetworkInterface.hardwareAddress = 00:00:00:00:00:00
09-05 11:07:30.995 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   lastKnownBssid (null)            = null
09-05 11:07:30.996 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   requestDeviceInfo                = 02:00:00:00:00:00
09-05 11:07:30.997 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   group.owner.deviceAddress        = 02:00:00:00:00:00
09-05 11:07:31.000 I/OPENHU  (20623): [2] WifiDirectManager.getMacFromShell | WifiDirectManager: MAC retrieved via sysfs (p2p-wlan0-4): c2:c0:71:b4:41:fe
09-05 11:07:31.001 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   sysfs / ip link                  = c2:c0:71:b4:41:fe
09-05 11:07:31.005 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   Settings.Secure p2p address      = null
09-05 11:07:31.006 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   reflection over WifiP2pGroup     = null
09-05 11:07:31.007 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == end BSSID source dump ==
09-05 11:07:31.013 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: BSSID read from the IPv6 link-local address of p2p-wlan0-4 (EUI-64): C2:C0:71:B4:41:FE
09-05 11:07:31.014 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: Initial BSSID from IPv6 link-local: C2:C0:71:B4:41:FE
09-05 11:07:31.016 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-TX-Navegadortz2, BSSID: C2:C0:71:B4:41:FE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-4, Freq: 5200 MHz (5GHz)
09-05 11:07:31.019 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: group identity ssid=DIRECT-TX-Navegadortz2 persistent=yes (netId 5) asked=persistent matchesRequest=yes bssid=C2:C0:71:B4:41:FE stable=no (same name but the BSSID moved from 32:F6:A5:C8:54:1E to C2:C0:71:B4:41:FE; this unit re-addresses the group on every create) source=IPv6 link-local
09-05 11:07:31.024 W/OPENHU  (20623): [2] WifiDirectManager.logStationCoexistence | WifiDirectManager: This unit is connected to another WiFi network on 5500 MHz while hosting the WiFi Direct group on 5200 MHz. One radio has to retune between the two, which can cost the projected video and audio a few hundred milliseconds at a time. Measured units have run clean in this state, so read this as context for a report rather than as something to change.
09-05 11:07:31.025 I/OPENHU  (20623): [2] WifiDirectManager.notifyNativeGroupStarted | WifiDirectManager: Native AA WiFi Direct: 5GHz (5200 MHz), 5GHz requested, SSID=DIRECT-TX-Navegadortz2
09-05 11:07:31.032 I/OPENHU  (20623): [66] WifiDirectManager.onGroupInfoAvailable$lambda$7 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:31.034 I/OPENHU  (20623): [66] WifiLauncherNative.onNativeCredentials | AapService: Received WiFi credentials from manager (SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1). Updating and Triggering Poke.
09-05 11:07:31.035 I/OPENHU  (20623): [66] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:31.861 I/OPENHU  (20623): [2] WifiDirectManager.onConnectionInfoAvailable | WifiDirectManager: Group formed. Owner: true, GO IP: 192.168.49.1
09-05 11:07:31.864 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: System Location Check: GPS=true, Network=true
09-05 11:07:31.874 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: BSSID read from the IPv6 link-local address of p2p-wlan0-4 (EUI-64): C2:C0:71:B4:41:FE
09-05 11:07:31.875 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: Initial BSSID from IPv6 link-local: C2:C0:71:B4:41:FE
09-05 11:07:31.876 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-TX-Navegadortz2, BSSID: C2:C0:71:B4:41:FE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-4, Freq: 5200 MHz (5GHz)
09-05 11:07:31.881 I/OPENHU  (20623): [2] 1.invoke | WifiDirectManager: Updated localDeviceAddress via requestDeviceInfo: 02:00:00:00:00:00
09-05 11:07:31.882 I/OPENHU  (20623): [68] WifiDirectManager.onGroupInfoAvailable$lambda$7 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:31.883 I/OPENHU  (20623): [68] WifiLauncherNative.onNativeCredentials | AapService: Received WiFi credentials from manager (SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1). Updating and Triggering Poke.
09-05 11:07:31.884 I/OPENHU  (20623): [68] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:31.885 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: System Location Check: GPS=true, Network=true
09-05 11:07:31.891 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: BSSID read from the IPv6 link-local address of p2p-wlan0-4 (EUI-64): C2:C0:71:B4:41:FE
09-05 11:07:31.891 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: Initial BSSID from IPv6 link-local: C2:C0:71:B4:41:FE
09-05 11:07:31.893 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-TX-Navegadortz2, BSSID: C2:C0:71:B4:41:FE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-4, Freq: 5200 MHz (5GHz)
09-05 11:07:31.901 I/OPENHU  (20623): [69] WifiDirectManager.onGroupInfoAvailable$lambda$7 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:31.902 I/OPENHU  (20623): [69] WifiLauncherNative.onNativeCredentials | AapService: Received WiFi credentials from manager (SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1). Updating and Triggering Poke.
09-05 11:07:31.902 I/OPENHU  (20623): [69] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=C2:C0:71:B4:41:FE, identity stable=no
09-05 11:07:33.041 I/OPENHU  (20623): [60] 1.invokeSuspend | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
09-05 11:07:39.507 I/OPENHU  (20623): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 11:07:39.519 W/OPENHU  (20623): [2] AutomationEffectRunner.run | AutomationMarker: R4-cancel
09-05 11:07:39.648 I/OPENHU  (20623): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_CANCEL_POKE received — user explicitly canceled driver selection
09-05 11:07:39.649 I/OPENHU  (20623): [2] NativeAaHandshakeManager.cancelPoke | NativeAA: cancelPoke() called — user explicitly canceled driver selection.
09-05 11:08:31.079 W/OPENHU  (20623): [2] WifiDirectManager.recoverNativeGroup | WifiDirectManager: Native AA recovery (no phone joined within 60s): recreate attempt 1/4.
09-05 11:08:31.080 I/OPENHU  (20623): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
09-05 11:08:31.082 I/OPENHU  (20623): [2] WifiDirectManager.invalidateNativeGroupCredentials | WifiDirectManager: the group is being removed (recreating the group), so its credentials are no longer handed out.
09-05 11:08:31.587 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Attempting createGroup for Native AA (Attempt 0)...
09-05 11:08:31.588 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: this unit's WiFi radio reports a 5 GHz band.
09-05 11:08:31.589 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Band preference is 5 GHz only, set by the user.
09-05 11:08:31.591 I/OPENHU  (20623): [2] WifiDirectManager.chooseNativeGroupIdentity | WifiDirectManager: group identity: asking for the kept network DIRECT-TX-Navegadortz2 again, so a phone that saved it can rejoin without being set up for a new one.
09-05 11:08:31.595 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Requesting Native AA P2P group on 5GHz band. Chosen by the user.
